word,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,cmv_concrete,cmv_valence,cmv_arousal,cmv_dominance
aback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,5.063900388098289,4.21066551674573,5.184823199655046
abacus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.52,5.063900388098289,4.21066551674573,5.184823199655046
abandon,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.54,2.84,3.73,3.32
abandoned,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.52,5.063900388098289,4.21066551674573,5.184823199655046
abandonment,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.54,2.63,4.95,2.64
abate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,5.063900388098289,4.21066551674573,5.184823199655046
abba,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abbreviate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,5.063900388098289,4.21066551674573,5.184823199655046
abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,5.063900388098289,4.21066551674573,5.184823199655046
abdomen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.43,3.68,5.15
abdominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,4.48,3.5,5.32
abduction,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.07,2.05,5.33,3.02
aberrant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
aberration,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abeyance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abhor,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.81,5.063900388098289,4.21066551674573,5.184823199655046
abhorrent,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,5.52,3.26,5.33
ability,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.81,7.0,4.85,6.55
abject,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,4.0,3.94,4.35
ablation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
ablaze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,5.15,6.75,4.58
abnormal,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.14,3.53,4.48,4.7
aboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,5.063900388098289,4.21066551674573,5.184823199655046
abode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,5.28,2.9,5.05
abolish,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.19,3.84,4.18,4.65
abolition,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.43,5.063900388098289,4.21066551674573,5.184823199655046
abominable,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.89,4.05,5.45,4.62
abomination,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.23,2.5,5.9,3.8
aboriginal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,5.063900388098289,4.21066551674573,5.184823199655046
abort,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.83,3.1,5.8,3.38
abortion,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.41,2.58,5.43,4.73
abortive,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.88,5.063900388098289,4.21066551674573,5.184823199655046
abound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,5.063900388098289,4.21066551674573,5.184823199655046
abovementioned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.96,5.063900388098289,4.21066551674573,5.184823199655046
abrasion,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.57,5.063900388098289,4.21066551674573,5.184823199655046
abroad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,5.063900388098289,4.21066551674573,5.184823199655046
abrogate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abrupt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.27,3.28,5.23,3.75
abruptly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,5.063900388098289,4.21066551674573,5.184823199655046
abscess,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.48,2.79,4.0,3.95
absence,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.31,3.86,4.3,4.24
absent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.7,4.1,3.72,4.21
absentee,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.29,5.063900388098289,4.21066551674573,5.184823199655046
absenteeism,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.35,5.063900388098289,4.21066551674573,5.184823199655046
absinthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.53,3.7,3.95
absolute,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.81,5.43,3.48,5.58
absolution,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.78,6.58,3.38,5.75
absorbed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.44,5.063900388098289,4.21066551674573,5.184823199655046
absorbent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.063900388098289,4.21066551674573,5.184823199655046
absorbing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,5.063900388098289,4.21066551674573,5.184823199655046
absorption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,5.063900388098289,4.21066551674573,5.184823199655046
abstain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,4.4,3.1,6.08
abstention,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,5.063900388098289,4.21066551674573,5.184823199655046
abstinence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,3.43,3.15,5.64
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,5.25,3.96,5.53
abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,5.063900388098289,4.21066551674573,5.184823199655046
absurd,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.64,4.45,4.02,5.06
absurdity,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.25,4.06,4.7,5.37
abundance,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.21,6.67,4.72,5.66
abundant,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.83,7.55,4.21,5.81
abuse,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.71,1.53,6.21,2.9
abutment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
aby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
abysmal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0362981503266133,3.45,3.91,3.76
abyss,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.07,3.9,4.85,4.0
academic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.11,6.61,3.32,6.21
academy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.29,5.32,3.77,5.38
accede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accelerate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,6.1,6.04,6.15
acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,6.19,6.73,5.76
accent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,6.48,4.95,5.36
accentuate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.063900388098289,4.21066551674573,5.184823199655046
accept,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,6.39,2.8,5.94
acceptable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.93,6.59,3.65,6.58
acceptance,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.21,6.84,4.3,6.49
access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,6.68,5.3,6.89
accessible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,6.68,3.2,6.58
accession,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.35,4.22,5.83
accident,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.26,2.55,4.93,3.0
accidental,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.17,3.46,4.0,3.41
accidentally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.71,5.063900388098289,4.21066551674573,5.184823199655046
